ID,Title,Impact_I,Likelihood_p_per_year,Detection_d_before_harm,Source_URLs,What_happens,Why_it_happens,Training_vignette,Test_prompt,Mitigation_checklist,RiskScore_log10
R11,Provenance & audit‑trail failure (can’t reproduce/defend outputs),10000.0,0.45,0.3,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf; https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,"You cannot prove what produced an output (model/version, retrieved sources/spans, tool calls, inputs), undermining compliance and trust.","LLM systems are multi-component pipelines; without deliberate logging, the transcript is not an auditable record.","In an audit, you cannot show which sources supported a claim or which model version generated it.",Produce an evidence chain for claim X with source IDs and quoted spans; include model/version and tool calls.,Log model/version/settings; capture retrieved doc IDs+spans; log tool calls+results; hash inputs; timestamp; maintain golden tests and diffs.,4.176091259055681
R9,"Hallucinations (fabrication), incl. fabricated citations/attribution",10000.0,0.45,0.3,https://hai.stanford.edu/news/ai-trial-legal-models-hallucinate-1-out-6-or-more-benchmarking-queries,"Model fabricates facts, quotes, numbers, procedures, or references; may cite sources that do not support the claim.",Next-token prediction rewards plausibility; gaps are filled to maintain coherence; citation patterns are completed even when unsupported.,Model invents a regulation and supplies a plausible citation; reader trusts it.,Provide 3 citations with exact quotes ≤25 words and page/section; label supported vs inferred vs unknown.,Constrain to provided sources; forbid guessing; evidence schema (claim→quote→inference); verification step for high-stakes claims.,4.176091259055681
R13,Licensing & rights volatility (model/data/output terms),10000.0,0.25,0.2,https://owasp.org/www-project-top-10-for-large-language-model-applications/assets/PDF/OWASP-Top-10-for-LLMs-v2025.pdf; https://www.nist.gov/itl/ai-risk-management-framework,Rights to use models/datasets/outputs change; commercial/redistribution constraints can invalidate deliverables.,Licenses vary widely and can change; combined dependencies make rights complex.,A license change prevents publishing generated examples in your book.,"List every dependency (model, data, tools) and its redistribution constraints. Flag unknown terms.",Maintain a bill of materials; separate research vs publishable pipelines; prefer explicit stable licenses aligned with distribution needs.,4.096910013008056
R14,Lossy context compression (summary drift),10000.0,0.4,0.35,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf,"As context grows, earlier constraints/facts are simplified or overwritten; later answers follow the distorted summary.",Finite attention and summarization favor gist; contradictions get harmonized.,A hard constraint is lost after 40 turns; the model starts violating it consistently.,"List hard constraints you are following, verbatim, and cite where each was stated. Compare to the canonical spec.",Keep a pinned source-of-truth; periodic state dumps and diffs; mark superseded decisions explicitly.,4.057991946977687
R16,Overconfidence / miscalibration (tone exceeds reliability),10000.0,0.4,0.45,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf,"Outputs are stated with unwarranted certainty; users over-trust fluent delivery, increasing downstream error impact.",LLMs do not naturally expose calibrated uncertainty; tuning often rewards authoritative style.,Model gives a definitive legal interpretation without noting ambiguity; reader acts on it.,"Give confidence bands, top 3 unknowns, and what would change your answer. Provide evidence for factual claims.",Require uncertainty fields; tie certainty to evidence presence; multi-sample consensus for critical decisions; verification steps.,3.9488474775526186
R15,Semantic ablation (dropped negations/units/constraints),10000.0,0.35,0.4,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf,"Key qualifiers (not/only/except), units, or time bounds are dropped; output looks coherent but violates requirements.",Gist compression and token-level smoothing; small words carry high semantic load.,'Do not delete files' becomes 'delete old files' in a cleanup script.,Provide two prompts differing only by a negation; verify outputs flip correctly and preserve constraints.,Numbered requirements block; constraint extraction; compliance table mapping each requirement to output evidence; unit checks.,3.942008053022313
R17,Misparsing inputs (PDF columns/tables/OCR artifacts),10000.0,0.3,0.35,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf,"Document layout is misread (columns, tables, headers/footers, OCR errors), leading to incorrect understanding and reasoning.",Extraction pipelines are linear-text oriented; PDFs store text in non-visual order; tables lose structure.,"A 2-column PDF merges text across columns, inverting meaning of a policy clause.",Describe layout before summarizing; quote the exact clause with page/section; verify table row/col mapping.,Use layout-aware extraction; include page images for tables; quote+location checks; prefer structured formats when possible.,3.933053210369387
R18,Sycophancy (agreement over truth),10000.0,0.25,0.3,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf,"Model agrees with user’s false premises, reinforcing misconceptions and producing wrong plans or claims.",Preference tuning and conversational norms reward agreeableness; user assertions are treated as ground truth.,User asserts a false fact; model agrees and builds a plan on it.,Here is a false premise (X). Challenge it: list evidence against it and ask clarifying questions before proceeding.,Instruction to challenge assumptions; claims audit (user-asserted vs evidenced vs inferred); counterargument-first prompting.,3.9208187539523753
R19,"Human–LLM intent mismatch (underspecification, pragmatics)",10000.0,0.3,0.4,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf,"Human intent is communicated implicitly; model optimizes a different objective (e.g., speed/style over correctness/constraints).",Natural language is ambiguous; the model lacks grounded intent and may misprioritize instructions.,'Don’t jump ahead' is interpreted as 'be concise' and it still outputs steps 1–10.,Restate my intent as explicit rules and stop conditions before answering. Then produce Step 1 only.,Structured prompt blocks (Goal/Constraints/Non-goals/Stop); intent restatement required; phased execution with user gates.,3.8750612633917
R20,Waterfall / partial execution (assumed completion),10000.0,0.2,0.35,https://owasp.org/www-project-top-10-for-large-language-model-applications/,"Multi-step outputs skip steps or assume actions were done; later steps contradict state, breaking procedures and scripts.",Long outputs drift; narrative completion; no actual execution feedback loop.,Model says 'restart service' without having created the config file it referenced earlier.,Provide a checklist with preconditions and postconditions per step; no assumed completion; stop after Step 1.,Step tables (action→expected output→verification); STOP gates; prefer scripts/artifacts; test commands with expected results.,3.7569619513137056
